,Location,Property subtype,Price,Number of bedrooms,Living area,Kitchen,Furnished,Open fireplace,Terrace,Garden,Surface area land,Pool,Condition
30,Oudenaarde,HOUSE,415000.0,3.0,207.0,True,False,False,True,True,569.0,False,True
31,Oudenaarde,HOUSE,405000.0,3.0,207.0,True,False,False,True,True,382.0,False,True
32,Arlon,HOUSE,295000.0,3.0,85.0,False,False,False,False,True,1446.0,False,True
33,Tournai-Mouscron,HOUSE,1100000.0,5.0,370.0,True,False,False,True,True,34800.0,False,True
34,Essen,VILLA,1695000.0,4.0,683.0,False,False,False,False,False,1948.0,False,False
35,Deurne,HOUSE,325000.0,3.0,113.0,True,False,False,True,True,102.0,False,True
36,Tielt,HOUSE,289000.0,3.0,197.0,True,False,False,True,True,1115.0,False,True
37,Liège,HOUSE,299000.0,4.0,176.0,True,False,False,True,True,160.0,False,True
38,Tongeren,HOUSE,332000.0,3.0,235.0,True,False,False,True,False,675.0,False,True
39,Sint-Niklaas,VILLA,595000.0,4.0,296.0,False,False,False,True,False,1189.0,False,True
41,Diksmuide,HOUSE,800000.0,5.0,350.0,False,False,False,False,False,8000.0,False,False
43,Hasselt,HOUSE,268000.0,4.0,197.0,False,False,False,False,True,195.0,False,True
44,Kortrijk,VILLA,495000.0,3.0,135.0,True,False,False,True,False,740.0,False,True
45,Tournai-Mouscron,MIXED_USE_BUILDING,320000.0,5.0,300.0,True,False,False,False,False,11000.0,False,True
47,Mechelen,MIXED_USE_BUILDING,1250000.0,18.0,700.0,True,False,False,False,True,5000.0,False,True
50,Charleroi,APARTMENT_BLOCK,550000.0,8.0,450.0,True,True,False,True,False,520.0,False,True
51,Mons,HOUSE,120000.0,2.0,80.0,False,False,False,False,True,2060.0,False,True
53,Nivelles,VILLA,750000.0,4.0,200.0,True,False,False,True,False,0.0,True,True
54,Liège,HOUSE,319000.0,5.0,150.0,True,False,False,True,True,210.0,False,False
55,Merksem,HOUSE,399000.0,3.0,210.0,True,False,False,True,False,0.0,False,True
56,Antwerpen,APARTMENT_BLOCK,449000.0,6.0,200.0,True,False,False,False,False,0.0,False,True
57,Woluwe-Saint-Lambert - Sint-Lambrechts-Woluwe,APARTMENT_BLOCK,615000.0,4.0,238.0,True,False,False,False,False,0.0,False,True
58,Gent,HOUSE,319000.0,2.0,127.0,True,False,False,False,True,112.0,False,True
59,Liège,APARTMENT_BLOCK,1550000.0,0.0,500.0,True,False,False,True,False,0.0,False,True
60,Merksem,HOUSE,419000.0,4.0,185.0,False,False,False,False,True,206.0,False,True
62,Antwerpen,APARTMENT_BLOCK,375000.0,7.0,209.0,False,False,False,False,False,110.0,False,True
63,Schaerbeek - Schaarbeek,APARTMENT_BLOCK,799000.0,6.0,350.0,True,False,False,True,False,120.0,False,True
64,Charleroi,HOUSE,139000.0,3.0,155.0,False,False,False,False,False,260.0,False,False
65,Ohey,HOUSE,295000.0,3.0,180.0,False,False,False,False,False,800.0,False,True
66,Ieper,HOUSE,485000.0,5.0,315.0,True,False,False,True,True,2565.0,False,True
67,Boom,HOUSE,314000.0,3.0,170.0,True,False,False,True,True,310.0,False,True
68,Tielt,HOUSE,255000.0,4.0,173.0,True,False,False,True,False,264.0,False,False
69,Kortrijk,HOUSE,339000.0,3.0,149.0,True,False,False,True,True,207.0,False,True
70,Gent,HOUSE,389000.0,4.0,175.0,True,False,False,False,False,117.0,False,True
71,Kortrijk,HOUSE,315000.0,3.0,219.0,False,False,False,False,False,355.0,False,True
77,Eeklo,HOUSE,215000.0,2.0,105.0,False,False,False,False,True,660.0,False,True
78,Veurne,HOUSE,210000.0,1.0,75.0,True,False,False,False,False,53.0,False,True
80,Oostende,HOUSE,279000.0,3.0,125.0,True,False,False,False,True,323.0,False,True
81,Ieper,HOUSE,550000.0,4.0,313.0,False,False,False,False,True,597.0,False,False
82,Halle-Vilvoorde,HOUSE,345000.0,3.0,124.0,True,False,False,False,False,140.0,False,False
84,Tielt,HOUSE,230000.0,3.0,293.0,False,False,False,False,True,620.0,False,False
85,Kortrijk,HOUSE,645000.0,4.0,304.0,True,False,False,True,True,3440.0,False,True
87,Hasselt,VILLA,595000.0,4.0,240.0,False,False,False,False,True,0.0,False,True
88,Hasselt,VILLA,699000.0,4.0,324.0,False,False,True,False,True,4800.0,False,True
89,Ieper,HOUSE,195000.0,4.0,357.0,False,False,False,False,False,675.0,False,True
91,Eeklo,HOUSE,275000.0,3.0,140.0,False,False,False,False,True,344.0,False,False
92,Brugge,HOUSE,395000.0,2.0,143.0,True,False,False,False,False,0.0,False,True
93,Oostende,HOUSE,199000.0,4.0,161.0,False,False,False,False,False,259.0,False,False
98,Halle-Vilvoorde,VILLA,693000.0,4.0,320.0,True,False,False,True,True,1295.0,False,True
100,Gent,HOUSE,325000.0,2.0,115.0,True,False,False,True,True,151.0,False,True
101,Tongeren,HOUSE,295000.0,3.0,160.0,False,False,False,True,False,216.0,False,True
102,Tongeren,HOUSE,289000.0,3.0,160.0,True,False,False,True,False,216.0,False,True
104,Tongeren,HOUSE,292000.0,3.0,160.0,True,False,False,True,False,216.0,False,True
105,Antwerpen,HOUSE,639000.0,5.0,276.0,True,False,False,False,False,87.0,False,True
107,Veurne,HOUSE,146000.0,2.0,93.0,False,False,False,False,False,572.0,False,True
108,Nivelles,HOUSE,260000.0,3.0,135.0,False,False,False,True,False,0.0,False,True
111,Halle-Vilvoorde,VILLA,1075000.0,5.0,290.0,True,False,False,True,True,435.0,False,True
112,Oostende,HOUSE,525000.0,3.0,182.0,True,False,False,True,False,411.0,False,True
114,Antwerpen,APARTMENT_BLOCK,540000.0,3.0,222.0,True,False,False,True,False,144.0,False,True
115,Saint-Josse-ten-Noode - Sint-Joost-ten-Node,HOUSE,450000.0,4.0,170.0,True,True,False,True,False,74.0,False,True
116,Saint-Josse-ten-Noode - Sint-Joost-ten-Node,APARTMENT_BLOCK,450000.0,4.0,170.0,True,True,False,True,False,74.0,False,True
117,Kortrijk,HOUSE,209000.0,3.0,171.0,False,False,False,False,False,183.0,False,True
118,Comblain-au-Pont,HOUSE,215000.0,3.0,170.0,True,False,False,False,True,432.0,False,True
119,Wépion,VILLA,600000.0,5.0,275.0,True,False,False,True,True,2621.0,False,True
120,Thuin,HOUSE,155000.0,3.0,130.0,True,False,False,False,True,293.0,False,False
122,Mettet,HOUSE,250000.0,2.0,120.0,True,False,False,True,True,978.0,False,False
124,Nivelles,VILLA,350000.0,4.0,150.0,True,False,False,True,True,800.0,True,True
125,Mons,HOUSE,150000.0,4.0,113.0,True,False,False,False,True,110.0,False,True
